법령일련번호,법령명,법령구분,소관부처,시행일자
230353,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,법률,교육부,20210323
283917,경제자유구역의 지정 및 운영에 관한 특별법,법률,산업통상부,20260310
266951,경찰공무원 교육훈련규정,대통령령,경찰청,20250311
260447,경찰공무원 보건안전 및 복지 기본법,법률,경찰청,해양경찰청,20240220
227157,경찰공무원 복무규정,대통령령,경찰청,20210105
272649,경찰공무원 승진임용 규정,대통령령,경찰청,20250708
284001,경찰공무원 임용령,대통령령,경찰청,20260310
241165,경찰공무원 징계령,대통령령,경찰청,20220315
268093,경찰공무원법,법률,경찰청,해양경찰청,20250107
260237,경찰공제회법,법률,경찰청,20240514
273315,경찰관 직무집행법,법률,경찰청,20251115
224453,경찰대학 설치법,법률,경찰청,20210101
284599,경찰청과 그 소속기관 직제,대통령령,경찰청,행정안전부,20260324
280029,계량에 관한 법률,법률,산업통상부,20260303
278291,계량에 관한 법률 시행령,대통령령,산업통상부,20251001
272873,계엄법,법률,국방부,20250722
277169,고도 보존 및 육성에 관한 특별법,법률,국가유산청,20260102
269089,고도 보존 및 육성에 관한 특별법 시행령,대통령령,국가유산청,20250218
280425,고등ㆍ평생교육지원특별회계법,법률,교육부,20260101
268513,고등교육법,법률,교육부,20260301
283667,고등교육법 시행령,대통령령,교육부,20260301
284671,고등학교 이하 각급 학교 설립ㆍ운영 규정,대통령령,교육부,20260324
276649,고령친화산업 진흥법,법률,보건복지부,20251001
283919,고압가스 안전관리법,법률,산업통상부,20260310
278693,고압가스 안전관리법 시행규칙,산업통상부령,산업통상부,20251001
284513,고압가스 안전관리법 시행령,대통령령,산업통상부,20260320
268567,고엽제후유의증 등 환자지원 및 단체설립에 관한 법률,법률,국가보훈부,20250422
246209,고용노동부 소관 비상대비에 관한 법률 시행규칙,고용노동부령,고용노동부,20221216
283523,고용노동부와 그 소속기관 직제,대통령령,고용노동부,행정안전부,20260413
247481,고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률,법률,고용노동부,20240101
282563,고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 시행규칙,고용노동부령,고용노동부,20260102
280527,고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 시행령,대통령령,고용노동부,20251223
91137,고용보험ㆍ산업재해보상보험의 보험관계 성립신고 등의 촉진을 위한 특별조치법,법률,고용노동부,20090107
284449,고용보험법,법률,고용노동부,20260317
282391,고용보험법 시행규칙,고용노동부령,고용노동부,20260101
281219,고용보험법 시행령,대통령령,고용노동부,20260102
243057,고용상 연령차별금지 및 고령자고용촉진에 관한 법률,법률,고용노동부,20220610
276847,고용정책 기본법,법률,고용노동부,20260102
281221,고용정책 기본법 시행령,대통령령,고용노동부,20260102
263095,고위공무원단 인사규정,대통령령,인사혁신처,20240604
279753,고위공직자범죄수사처 설치 및 운영에 관한 법률,법률,고위공직자범죄수사처,20260112
276463,고준위 방사성폐기물 관리에 관한 특별법,법률,기후에너지환경부,20251001
260449,고향사랑 기부금에 관한 법률,법률,행정안전부,20250101
206325,곤충산업의 육성 및 지원에 관한 법률,법률,농림축산식품부,20190701
276933,골재채취법,법률,국토교통부,20251001
281643,골재채취법 시행령,대통령령,국토교통부,20260102
258475,공간정보산업 진흥법,법률,국토교통부,20240710
276935,공간정보의 구축 및 관리 등에 관한 법률,법률,국토교통부,20260102
282377,공간정보의 구축 및 관리 등에 관한 법률 시행규칙,국토교통부령,국토교통부,20260102
284677,공간정보의 구축 및 관리 등에 관한 법률 시행령,대통령령,국토교통부,20260324
277291,공공감사에 관한 법률,법률,감사원,20260102
261519,공공감사에 관한 법률 시행령,대통령령,감사원,20240527
180048,공공기관의 갈등 예방과 해결에 관한 규정,대통령령,국무조정실,20160125
283205,공공기관의 갈등 예방과 해결에 관한 규정 시행규칙,총리령,국무조정실,20260130
245523,공공기관의 소방안전관리에 관한 규정,대통령령,소방청,20221201
276057,공공기관의 운영에 관한 법률,법률,재정경제부,20260102
280787,공공기관의 운영에 관한 법률 시행령,대통령령,재정경제부,20260102
251019,공공기관의 정보공개에 관한 법률,법률,행정안전부,20231117
281505,공공기관의 정보공개에 관한 법률 시행령,대통령령,행정안전부,20260102
277313,공공기록물 관리에 관한 법률,법률,행정안전부,20251001
271255,공공기록물 관리에 관한 법률 시행규칙,행정안전부령,행정안전부,20250520
271131,공공기록물 관리에 관한 법률 시행령,대통령령,행정안전부,20250520
283045,공공단체등 위탁선거에 관한 규칙,중앙선거관리위원회규칙,중앙선거관리위원회,20260123
273307,공공단체등 위탁선거에 관한 법률,법률,중앙선거관리위원회,20250814
251023,공공데이터의 제공 및 이용 활성화에 관한 법률,법률,행정안전부,20231117
242991,공공보건의료에 관한 법률,법률,보건복지부,20230611
276059,공공자금관리기금법,법률,재정경제부,20260102
261479,공공재정 부정청구 금지 및 부정이익 환수 등에 관한 법률,법률,국민권익위원회,20240927
276937,공공주택 특별법,법률,국토교통부,20260102
282127,공공주택 특별법 시행규칙,국토교통부령,국토교통부,20251229
285441,공공주택 특별법 시행령,대통령령,국토교통부,20260414
276061,공공차관의 도입 및 관리에 관한 법률,법률,재정경제부,20260102
276939,공공토지의 비축에 관한 법률,법률,국토교통부,20260102
276697,공공폐자원관리시설의 설치ㆍ운영 및 주민지원 등에 관한 특별법,법률,기후에너지환경부,20251001
242099,공군 20전투비행단 이예람 중사 사망 사건 관련 군 내 성폭력 및 2차 피해 등의 진상규명을 위한 특별검사 임명 등에 관한 법률,법률,법무부,20220910
192430,공군항공과학고등학교 설치법,법률,국방부,20170622
276063,공기업의 경영구조개선 및 민영화에 관한 법률,법률,재정경제부,20260102
283325,공동주택 분양가격의 산정 등에 관한 규칙,국토교통부령,국토교통부,20260211
280069,공동주택관리법,법률,국토교통부,20260303
284529,공동주택관리법 시행규칙,국토교통부령,국토교통부,20260312
284679,공동주택관리법 시행령,대통령령,국토교통부,20260324
263509,공무용 차량 관리 규정,대통령령,행정안전부,20240702
267201,공무원 성과평가 등에 관한 규정,대통령령,인사혁신처,20241224
282471,공무원 여비 규정,대통령령,인사혁신처,20260102
256831,공무원 인사기록ㆍ통계 및 인사사무 처리 규정,대통령령,인사혁신처,20240101
245371,공무원 인재개발법,법률,인사혁신처,20221115
247167,공무원 인재개발법 시행령,대통령령,인사혁신처,20230103
283709,공무원 재해보상법,법률,인사혁신처,20260227
272695,공무원 재해보상법 시행령,대통령령,인사혁신처,20250708
277701,공무원 제안 규정,대통령령,행정안전부,20251001
272555,공무원 징계령,대통령령,인사혁신처,20250701
266777,공무원 채용 신체검사 규정,대통령령,인사혁신처,20241227
242713,공무원 행동강령,대통령령,국민권익위원회,20220602
227215,공무원 후생복지에 관한 규정,대통령령,인사혁신처,20210105
283493,공무원보수규정,대통령령,인사혁신처,20260301
282475,공무원수당 등에 관한 규정,대통령령,인사혁신처,20260102
277137,공무원연금법,법률,인사혁신처,20260102
281715,공무원연금법 시행령,대통령령,인사혁신처,20260102
250149,공무원의 구분 변경에 따른 국회공무원의 전직임용 등에 관한 특례규칙,국회규칙,국회,20230410
272703,공무원의 구분 변경에 따른 전직임용 등에 관한 특례규정,대통령령,인사혁신처,20250708
243037,공무원의 노동조합 설립 및 운영 등에 관한 법률,법률,고용노동부,20231211
256437,공무원의 노동조합 설립 및 운영 등에 관한 법률 시행령,대통령령,고용노동부,20231211
285403,공무원임용령,대통령령,인사혁신처,20260407
266979,공무원임용시험령,대통령령,인사혁신처,20250701
241913,공무원직장협의회의 설립ㆍ운영에 관한 법률,법률,행정안전부,20221027
230205,공사중단 장기방치 건축물의 정비 등에 관한 특별조치법,법률,국토교통부,20220317
265897,공연법,법률,문화체육관광부,20250423
284681,공연법 시행령,대통령령,문화체육관광부,20260324
259903,공유수면 관리 및 매립에 관한 법률,법률,해양수산부,20250807
282711,공유수면 관리 및 매립에 관한 법률 시행규칙,해양수산부령,해양수산부,20260102
278003,공유수면 관리 및 매립에 관한 법률 시행령,대통령령,해양수산부,20251001
258477,공유재산 및 물품 관리법,법률,행정안전부,20240710
281027,공유재산 및 물품 관리법 시행령,대통령령,행정안전부,20260102
182009,공익법무관에 관한 법률,법률,법무부,20160329
199494,공익법인의 설립ㆍ운영에 관한 법률,법률,법무부,20171212
276943,공익사업을 위한 토지 등의 취득 및 보상에 관한 법률,법률,국토교통부,20260102
281647,공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 시행령,대통령령,국토교통부,20260102
268861,공익신고자 보호법,법률,국민권익위원회,20260201
198547,공익신탁법,법률,법무부,20181101
169302,공익신탁법 시행령,대통령령,법무부,20150319
243059,공인노무사법,법률,고용노동부,20221211
273341,공인중개사법,법률,국토교통부,20260215
263573,공인중개사법 시행규칙,국토교통부령,국토교통부,20240710
279243,공인중개사법 시행령,대통령령,국토교통부,20260101
244751,공인중개사의 매수신청대리인 등록 등에 관한 규칙,대법원규칙,대법원,20230101
258791,공인회계사법,법률,금융위원회,20240116
273111,공인회계사법 시행규칙,총리령,금융위원회,20260101
271153,공인회계사법 시행령,대통령령,금융위원회,20260101
276273,공장 및 광업재단 저당법,법률,법무부,20251001
277237,공적자금관리 특별법,법률,금융위원회,20260102
277239,공적자금상환기금법,법률,금융위원회,20260102
268619,공중 등 협박목적 및 대량살상무기확산을 위한 자금조달행위의 금지에 관한 법률,법률,금융위원회,20260122
214129,공중방역수의사에 관한 법률,법률,농림축산식품부,20200211
277141,공중보건 위기대응 의료제품의 개발 촉진 및 긴급 공급을 위한 특별법,법률,식품의약품안전처,20260102
259905,공중보건장학을 위한 특례법,법률,보건복지부,20250807
259521,공중위생관리법,법률,보건복지부,20250731
283855,공중위생관리법 시행규칙,보건복지부령,보건복지부,20260304
266301,공중위생관리법 시행령,대통령령,보건복지부,20260101
234021,공중화장실 등에 관한 법률,법률,행정안전부,20230721
102646,공증인 수수료 규칙,법무부령,법무부,20100207
199495,공증인법,법률,법무부,20180620
280253,공직선거관리규칙,중앙선거관리위원회규칙,중앙선거관리위원회,20251205
284577,공직선거법,법률,중앙선거관리위원회,20260319
245981,공직자 등의 병역사항 신고 및 공개에 관한 법률,법률,국방부,병무청,20230614
245499,공직자 등의 병역사항 신고 및 공개에 관한 법률 시행령,대통령령,국방부,병무청,20221122
277139,공직자윤리법,법률,인사혁신처,20260102
281347,공직자윤리법 시행령,대통령령,인사혁신처,20260102
280329,공직자윤리법의 시행에 관한 헌법재판소 규칙,헌법재판소규칙,헌법재판소,20251215
232253,공직자의 이해충돌 방지법,법률,국민권익위원회,20220519
279979,공직후보자 등에 관한 정보의 수집 및 관리에 관한 규정,대통령령,인사혁신처,20260101
272613,공탁규칙,대법원규칙,대법원,20250818
244753,공탁금의 이자에 관한 규칙,대법원규칙,대법원,20221001
284413,공탁법,법률,법무부,20260317
261147,공항소음 방지 및 소음대책지역 지원에 관한 법률,법률,국토교통부,20240920
273399,공항시설법,법률,국토교통부,20260227
283615,공항시설법 시행령,대통령령,국토교통부,20260227
233829,공휴일에 관한 법률,법률,고용노동부,인사혁신처,20220101
276065,과세자료의 제출 및 관리에 관한 법률,법률,재정경제부,20260102
